10:07:38 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:49:38 AM
10:07:13 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:53:13 AM
10:07:39 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:53:39 AM
10:07:41 || Communicator.ZMQServer.Server || Subscriber socket connecting... at time UTC: 7/29/2017 7:53:41 AM
10:07:58 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:54:58 AM
10:07:08 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:56:08 AM
10:07:10 || Communicator.ZMQServer.Server || Subscriber socket connecting... at time UTC: 7/29/2017 7:56:10 AM
13:07:10 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 10:36:10 AM
15:07:50 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 12:18:50 PM
15:07:29 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 0, mgr: ExecuteSelect, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:29 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 0, mgr: ExecuteSelect, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:29 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 0, mgr: ExecuteSelect, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
